Weapon Type,Weapon ID,Purchase Timestamp,Usage Hours,Performance Metrics,Maintenance Logs,Number of Failures,Parts with Issues,Area,Battalion,Temperature,Weather Conditions
Type D,G-783,2018-12-11,6982,90.78,15,5,None,Urban,West Battalion,38,Hot
Type B,G-694,2019-01-20,782,77.24,6,8,Transmission,Urban,East Battalion,32,Rainy
Type B,G-357,2015-08-19,8941,74.89,32,7,Navigation System,Rural,North-East Battalion,27,Rainy
Type C,G-498,2019-12-01,9385,94.39,37,2,None,Rural,North-East Battalion,27,Rainy
Type D,G-260,2018-10-19,9867,65.39,26,5,None,Semi-Urban,West Battalion,38,Dry
Type E,G-978,2025-01-29,7897,84.83,1,3,None,Rural,North-East Battalion,28,Rainy
Type B,G-775,2021-11-22,2060,83.44,32,2,None,Semi-Urban,West Battalion,32,Humid
Type E,G-555,2024-02-12,2824,91.02,5,7,None,Rural,South Battalion,31,Humid
Type C,G-514,2022-05-23,2773,99.99,35,6,None,Rural,North Battalion,28,Cool
Type A,G-395,2019-07-15,4760,69.49,45,7,None,Rural,North-East Battalion,26,Rainy
Type A,G-298,2019-02-25,1722,92.09,6,0,None,Rural,North Battalion,30,Cool
Type E,G-785,2021-01-29,6043,67.21,50,4,Transmission,Urban,East Battalion,32,Rainy
Type D,G-795,2022-07-06,7830,66.05,8,0,Navigation System,Rural,South Battalion,31,Humid
Type C,G-979,2018-05-07,5413,74.04,30,5,None,Urban,South Battalion,35,Hot
Type A,G-444,2020-07-27,264,98.13,30,6,None,Urban,West Battalion,34,Hot
Type B,G-363,2020-12-09,7948,82.53,36,7,Sensors,Rural,South Battalion,31,Humid
Type B,G-631,2024-03-01,704,93.7,32,7,None,Rural,North Battalion,28,Cool
Type E,G-227,2023-09-14,9406,94.6,39,1,Engine,Rural,East Battalion,33,Cloudy
Type C,G-971,2018-11-08,6415,90.52,41,3,Navigation System,Rural,North-East Battalion,29,Rainy
Type D,G-879,2018-05-19,7397,84.17,37,1,Gun System,Semi-Urban,West Battalion,34,Humid
Type B,G-847,2016-10-21,4752,84.6,34,1,Brakes,Rural,North Battalion,28,Cool
Type E,G-677,2019-05-23,297,80.46,40,1,Gun System,Urban,South Battalion,33,Hot
Type B,G-570,2016-06-05,294,69.01,49,2,None,Rural,North Battalion,30,Cool
Type B,G-959,2016-10-14,1442,83.38,41,8,None,Rural,North Battalion,26,Cool
Type B,G-477,2016-08-07,6257,97.46,28,2,Navigation System,Urban,West Battalion,34,Hot
Type B,G-345,2021-06-03,1875,89.73,42,2,Armor Plating,Rural,North Battalion,28,Cool
Type D,G-297,2020-02-27,7862,88.83,46,2,None,Rural,North-East Battalion,25,Rainy
Type D,G-744,2018-10-22,7295,96.48,38,3,None,Urban,West Battalion,37,Hot
Type D,G-820,2017-09-25,4885,67.38,5,9,Armor Plating,Semi-Urban,West Battalion,36,Dry
Type E,G-269,2019-09-14,5040,64.76,46,5,Wiring,Rural,East Battalion,33,Cloudy
Type C,G-793,2018-01-31,2653,79.46,9,4,None,Rural,South Battalion,32,Humid
Type A,G-601,2019-06-10,8813,99.06,8,4,Gun System,Urban,East Battalion,30,Rainy
Type A,G-680,2021-05-20,9101,89.68,34,4,None,Urban,East Battalion,30,Rainy
Type E,G-593,2018-02-19,8058,97.07,19,4,Engine,Urban,West Battalion,38,Hot
Type C,G-181,2023-06-30,2771,64.24,34,2,None,Urban,East Battalion,32,Rainy
Type C,G-558,2020-03-15,6065,75.61,25,2,Armor Plating,Urban,East Battalion,29,Rainy
Type A,G-141,2022-04-09,7338,79.62,10,3,None,Semi-Urban,West Battalion,40,Dry
Type E,G-168,2020-01-28,5095,76.99,11,2,Armor Plating,Urban,West Battalion,35,Hot
Type B,G-171,2016-07-18,6262,63.57,4,5,None,Semi-Urban,West Battalion,40,Dry
Type B,G-468,2017-07-19,933,83.63,46,3,Transmission,Urban,West Battalion,35,Hot
Type E,G-448,2019-02-21,6656,61.67,45,6,Armor Plating,Semi-Urban,West Battalion,31,Humid
Type C,G-778,2020-12-12,363,94.26,36,3,None,Rural,East Battalion,34,Cloudy
Type E,G-662,2016-05-18,6747,81.3,38,8,None,Semi-Urban,West Battalion,37,Dry
Type C,G-175,2019-06-07,290,76.52,22,9,None,Urban,West Battalion,36,Hot
Type A,G-614,2022-06-15,2189,69.17,19,2,Transmission,Rural,South Battalion,33,Humid
Type A,G-878,2023-04-10,556,80.26,42,6,None,Rural,South Battalion,30,Humid
Type D,G-850,2023-06-07,8422,88.6,42,5,Radar,Semi-Urban,West Battalion,33,Humid
Type D,G-233,2020-01-11,6940,61.55,5,4,Sensors,Rural,South Battalion,30,Humid
Type A,G-845,2021-01-10,951,87.76,21,2,Transmission,Semi-Urban,West Battalion,36,Dry
Type B,G-353,2015-12-15,9461,72.7,23,3,Wiring,Semi-Urban,West Battalion,30,Humid
Type C,G-968,2020-03-09,7993,89.68,37,4,None,Semi-Urban,West Battalion,38,Dry
Type B,G-262,2022-10-11,5551,86.1,0,9,None,Urban,West Battalion,34,Hot
Type E,G-147,2022-03-23,831,67.22,49,4,None,Rural,North-East Battalion,25,Rainy
Type B,G-483,2024-04-28,604,66.14,29,1,None,Urban,South Battalion,36,Hot
Type D,G-321,2017-06-10,3883,70.88,2,6,None,Rural,South Battalion,32,Humid
Type C,G-887,2023-12-23,5464,60.9,2,7,None,Semi-Urban,West Battalion,30,Humid
Type E,G-857,2021-07-23,921,66.03,1,6,Armor Plating,Semi-Urban,West Battalion,31,Humid
Type B,G-651,2016-12-12,5768,99.09,35,2,None,Urban,East Battalion,29,Rainy
Type E,G-331,2024-04-11,5447,93.42,7,2,None,Rural,North-East Battalion,26,Rainy
Type E,G-539,2018-06-11,5962,93.0,9,3,None,Urban,East Battalion,28,Rainy
Type B,G-220,2018-06-02,7876,94.7,4,7,Radar,Rural,North-East Battalion,28,Rainy
Type C,G-968,2018-03-28,6907,73.08,36,3,Transmission,Urban,South Battalion,33,Hot
Type B,G-432,2017-08-06,1925,68.83,28,5,Sensors,Urban,West Battalion,35,Hot
Type B,G-535,2022-08-11,1578,97.46,4,9,Wiring,Urban,South Battalion,34,Hot
Type D,G-405,2016-01-27,6720,74.31,22,2,Sensors,Rural,North Battalion,29,Cool
Type A,G-397,2020-04-17,9006,90.39,37,5,None,Urban,South Battalion,32,Hot
Type B,G-818,2020-10-27,7187,95.65,7,2,None,Semi-Urban,West Battalion,36,Dry
Type C,G-630,2019-02-24,3715,84.75,29,3,Radar,Urban,East Battalion,32,Rainy
Type C,G-205,2015-12-01,9798,64.07,5,3,None,Rural,North-East Battalion,29,Rainy
Type B,G-275,2017-04-28,9454,86.81,9,9,Brakes,Urban,North Battalion,37,Sunny
Type A,G-909,2016-05-24,5231,75.41,24,9,None,Urban,East Battalion,31,Rainy
Type E,G-313,2022-02-10,8879,69.51,19,9,Engine,Rural,South Battalion,30,Humid
Type A,G-179,2017-10-05,1743,92.03,44,8,None,Rural,South Battalion,29,Humid
Type C,G-499,2018-01-31,9409,62.51,20,5,None,Urban,South Battalion,34,Hot
Type E,G-436,2016-02-13,9732,60.76,0,3,Transmission,Semi-Urban,West Battalion,38,Dry
Type A,G-779,2019-10-10,8270,75.38,30,6,Armor Plating,Urban,South Battalion,33,Hot
Type A,G-759,2019-01-29,2383,61.6,44,7,None,Urban,North Battalion,37,Sunny
Type D,G-187,2022-01-27,2036,83.82,22,4,None,Rural,South Battalion,30,Humid
Type E,G-773,2021-04-06,7641,71.19,29,9,None,Urban,North Battalion,35,Sunny
Type E,G-257,2016-10-13,8415,61.67,30,8,None,Rural,East Battalion,33,Cloudy
Type C,G-794,2015-04-20,8682,62.27,41,5,Sensors,Urban,West Battalion,38,Hot
Type D,G-203,2016-08-14,7995,92.21,20,8,None,Rural,North Battalion,28,Cool
Type E,G-761,2019-07-02,2461,82.13,37,2,None,Rural,North Battalion,29,Cool
Type B,G-467,2023-10-02,9549,86.04,49,4,None,Urban,North Battalion,36,Sunny
Type A,G-905,2017-06-13,7047,79.04,42,5,Sensors,Urban,South Battalion,35,Hot
Type C,G-808,2018-04-08,6151,92.27,9,2,Radar,Urban,East Battalion,29,Rainy
Type E,G-360,2021-11-16,1509,83.78,4,8,Radar,Rural,South Battalion,29,Humid
Type A,G-608,2016-05-28,6910,76.96,47,4,Navigation System,Urban,West Battalion,35,Hot
Type E,G-833,2023-04-06,6148,90.35,33,2,Sensors,Urban,West Battalion,36,Hot
Type E,G-519,2019-04-29,2212,70.07,13,1,None,Urban,South Battalion,34,Hot
Type B,G-620,2020-07-16,6418,70.58,7,3,Engine,Urban,West Battalion,36,Hot
Type A,G-854,2022-02-15,7769,65.91,30,3,Wiring,Urban,North Battalion,37,Sunny
Type A,G-447,2021-09-09,7666,71.18,37,5,None,Urban,East Battalion,28,Rainy
Type E,G-718,2016-06-19,2751,70.68,45,7,None,Urban,East Battalion,28,Rainy
Type C,G-226,2022-10-28,367,86.17,38,5,Armor Plating,Semi-Urban,West Battalion,38,Dry
Type C,G-773,2019-04-04,2048,75.68,39,5,None,Urban,West Battalion,35,Hot
Type C,G-297,2019-02-27,5113,93.33,5,2,None,Rural,East Battalion,32,Cloudy
Type C,G-587,2018-01-14,8233,66.3,47,4,None,Urban,South Battalion,36,Hot
Type B,G-553,2021-11-13,1854,98.92,44,4,None,Rural,North Battalion,27,Cool
Type D,G-607,2019-08-17,5002,86.92,28,2,Brakes,Urban,South Battalion,35,Hot
Type E,G-668,2016-10-17,3488,85.77,33,6,Wiring,Urban,West Battalion,36,Hot
Type B,G-349,2023-09-14,1901,73.36,27,3,Navigation System,Urban,South Battalion,35,Hot
Type A,G-233,2024-06-24,7980,77.77,2,3,None,Rural,South Battalion,32,Humid
Type E,G-338,2021-08-29,3110,93.17,44,6,None,Semi-Urban,West Battalion,39,Dry
Type B,G-658,2019-10-21,2848,66.12,44,9,None,Rural,North-East Battalion,26,Rainy
Type A,G-200,2015-03-28,4172,72.82,35,1,None,Rural,North-East Battalion,29,Rainy
Type B,G-764,2017-11-25,5564,89.34,39,7,Engine,Rural,North Battalion,30,Cool
Type B,G-670,2020-09-29,5419,78.73,40,4,None,Rural,East Battalion,31,Cloudy
Type B,G-380,2024-06-12,5269,93.15,24,4,None,Urban,West Battalion,38,Hot
Type B,G-802,2017-08-16,9129,99.52,14,2,None,Semi-Urban,West Battalion,40,Dry
Type A,G-574,2023-04-26,3454,78.38,11,10,Navigation System,Urban,North Battalion,33,Sunny
Type D,G-910,2020-11-09,2597,72.08,37,0,Gun System,Rural,North-East Battalion,25,Rainy
Type D,G-810,2017-01-05,9783,60.04,15,3,None,Semi-Urban,West Battalion,40,Dry
Type A,G-353,2021-03-02,990,73.38,45,8,Gun System,Urban,South Battalion,35,Hot
Type E,G-853,2016-07-21,5440,82.19,1,4,None,Rural,East Battalion,33,Cloudy
Type D,G-533,2023-04-16,1380,75.95,7,6,Brakes,Urban,North Battalion,36,Sunny
Type D,G-238,2017-08-20,1727,65.36,43,5,Sensors,Urban,West Battalion,34,Hot
Type C,G-934,2024-11-11,4427,92.57,5,5,Brakes,Urban,North Battalion,34,Sunny
Type D,G-533,2020-01-14,7356,93.43,49,3,Sensors,Rural,North Battalion,26,Cool
Type B,G-476,2021-04-20,2282,75.56,30,0,None,Rural,North-East Battalion,27,Rainy
Type E,G-691,2016-08-15,6724,95.05,43,5,None,Rural,North Battalion,30,Cool
Type A,G-686,2021-08-09,9376,78.08,40,1,Sensors,Urban,North Battalion,33,Sunny
Type E,G-961,2016-01-29,132,73.33,27,2,Navigation System,Urban,North Battalion,37,Sunny
Type D,G-623,2015-09-19,2523,84.07,26,2,Armor Plating,Urban,North Battalion,33,Sunny
Type A,G-499,2023-01-10,7505,60.18,46,6,None,Urban,South Battalion,34,Hot
Type A,G-204,2021-10-17,9454,96.91,32,6,Sensors,Urban,North Battalion,33,Sunny
Type E,G-796,2020-01-11,7199,77.78,28,6,None,Semi-Urban,West Battalion,37,Dry
Type A,G-599,2021-08-21,8294,97.72,22,7,Gun System,Urban,West Battalion,34,Hot
Type E,G-923,2016-05-23,6662,69.32,27,3,Transmission,Semi-Urban,West Battalion,31,Humid
Type D,G-304,2023-06-15,6278,74.41,39,2,None,Semi-Urban,West Battalion,32,Humid
Type C,G-878,2018-07-06,1175,86.13,12,1,None,Semi-Urban,West Battalion,40,Dry
Type C,G-937,2023-05-15,8543,89.91,23,7,Radar,Semi-Urban,West Battalion,38,Dry
Type C,G-411,2015-06-05,9912,90.25,42,3,Engine,Urban,East Battalion,31,Rainy
Type C,G-199,2020-04-30,8751,86.15,19,7,None,Urban,West Battalion,34,Hot
Type D,G-961,2017-09-01,6465,66.65,2,8,None,Rural,East Battalion,35,Cloudy
Type C,G-273,2020-02-03,7428,93.05,29,2,None,Rural,East Battalion,34,Cloudy
Type A,G-362,2020-09-07,2578,90.21,34,2,None,Semi-Urban,West Battalion,38,Dry
Type D,G-935,2017-09-27,4732,90.19,6,4,Transmission,Urban,South Battalion,35,Hot
Type C,G-416,2024-11-04,164,94.59,37,2,Brakes,Semi-Urban,West Battalion,30,Humid
Type E,G-370,2020-08-08,7702,82.55,9,1,Engine,Rural,North-East Battalion,29,Rainy
Type E,G-420,2023-08-13,6896,98.5,0,2,None,Rural,East Battalion,31,Cloudy
Type D,G-145,2019-08-08,5387,69.18,4,6,None,Rural,North Battalion,30,Cool
Type B,G-150,2020-04-02,7221,75.94,36,3,None,Urban,South Battalion,34,Hot
Type B,G-677,2016-08-26,7913,87.41,38,3,Gun System,Rural,East Battalion,34,Cloudy
Type C,G-302,2023-03-18,6254,98.25,28,5,Brakes,Urban,North Battalion,35,Sunny
Type E,G-209,2022-04-24,9349,71.05,0,4,None,Rural,North Battalion,28,Cool
Type B,G-913,2023-05-13,8863,87.27,13,4,Sensors,Urban,South Battalion,33,Hot
Type E,G-795,2021-03-20,8168,92.42,43,4,None,Rural,East Battalion,33,Cloudy
Type B,G-614,2024-12-01,4487,73.48,42,7,None,Rural,South Battalion,31,Humid
Type A,G-961,2019-03-31,3750,67.65,31,4,Navigation System,Urban,East Battalion,30,Rainy
Type D,G-258,2023-07-04,1528,96.43,0,3,None,Semi-Urban,West Battalion,34,Humid
Type E,G-140,2021-06-23,9366,65.07,14,1,Wiring,Rural,South Battalion,31,Humid
Type D,G-570,2022-10-17,2173,70.66,46,5,Gun System,Rural,East Battalion,33,Cloudy
Type A,G-706,2016-02-18,7644,70.33,38,2,Wiring,Semi-Urban,West Battalion,32,Humid
Type A,G-594,2021-03-11,5923,89.07,4,5,None,Semi-Urban,West Battalion,30,Humid
Type B,G-518,2023-10-13,3844,86.78,27,5,None,Rural,South Battalion,29,Humid
Type D,G-247,2015-08-10,7781,82.74,15,5,None,Urban,West Battalion,38,Hot
Type C,G-401,2015-05-22,2788,82.3,30,3,Radar,Urban,North Battalion,35,Sunny
Type B,G-287,2022-11-14,8455,78.27,49,2,None,Rural,North Battalion,26,Cool
Type B,G-715,2018-10-02,6686,61.43,17,8,Navigation System,Rural,North Battalion,30,Cool
Type E,G-563,2023-08-15,9138,72.8,26,1,None,Rural,North-East Battalion,26,Rainy
Type A,G-521,2015-03-14,9837,80.54,33,5,None,Rural,East Battalion,33,Cloudy
Type A,G-445,2016-02-29,9180,92.63,5,2,None,Semi-Urban,West Battalion,39,Dry
Type C,G-910,2016-09-23,9091,94.57,30,8,Gun System,Urban,North Battalion,35,Sunny
Type B,G-737,2018-08-31,158,94.34,19,6,None,Semi-Urban,West Battalion,32,Humid
Type E,G-867,2019-11-24,6854,63.05,3,5,None,Urban,North Battalion,33,Sunny
Type B,G-646,2016-03-12,8303,90.04,3,2,None,Rural,East Battalion,34,Cloudy
Type D,G-818,2015-08-31,1297,72.23,50,3,Sensors,Urban,West Battalion,38,Hot
Type B,G-245,2021-01-18,5853,97.56,17,5,None,Rural,South Battalion,33,Humid
Type E,G-587,2021-04-11,1898,72.44,45,3,None,Rural,South Battalion,29,Humid
Type B,G-381,2023-03-11,7321,65.41,27,4,None,Urban,North Battalion,34,Sunny
Type B,G-228,2018-09-14,7682,89.16,2,6,Sensors,Rural,North Battalion,28,Cool
Type D,G-775,2020-11-29,6319,98.36,40,3,Radar,Urban,East Battalion,32,Rainy
Type E,G-939,2018-10-07,7406,93.29,42,6,None,Urban,East Battalion,31,Rainy
Type B,G-190,2019-03-31,2928,76.06,16,5,None,Urban,East Battalion,28,Rainy
Type D,G-689,2019-11-01,6560,74.15,48,2,None,Urban,East Battalion,30,Rainy
Type C,G-964,2024-12-16,4086,94.79,6,4,None,Rural,North-East Battalion,26,Rainy
Type B,G-708,2019-11-25,7104,94.64,40,6,None,Rural,East Battalion,33,Cloudy
Type D,G-633,2016-03-24,4741,67.51,11,3,None,Rural,North Battalion,28,Cool
Type A,G-756,2022-11-08,5925,95.94,28,5,Armor Plating,Urban,South Battalion,36,Hot
Type A,G-311,2016-08-03,8402,96.46,21,4,None,Rural,North-East Battalion,27,Rainy
Type C,G-470,2023-04-13,1886,95.29,49,7,None,Rural,North Battalion,27,Cool
Type E,G-962,2025-01-25,8684,87.03,17,8,Navigation System,Semi-Urban,West Battalion,30,Humid
Type C,G-136,2016-01-13,4190,70.2,6,6,Navigation System,Rural,South Battalion,30,Humid
Type D,G-468,2018-12-25,4175,67.39,7,2,None,Rural,East Battalion,32,Cloudy
Type C,G-307,2023-02-15,8003,71.3,29,3,None,Urban,South Battalion,36,Hot
Type B,G-401,2024-07-16,4362,63.13,18,5,None,Urban,East Battalion,30,Rainy
Type A,G-191,2015-08-31,8880,97.05,33,8,Gun System,Rural,East Battalion,33,Cloudy
Type B,G-957,2015-03-16,8126,80.85,7,7,Navigation System,Semi-Urban,West Battalion,33,Humid
Type C,G-962,2017-04-19,4673,77.97,46,4,Armor Plating,Rural,South Battalion,33,Humid
Type D,G-124,2019-03-20,1415,66.87,47,4,Brakes,Rural,North Battalion,30,Cool
Type C,G-135,2016-10-17,1754,77.32,18,4,Wiring,Rural,East Battalion,34,Cloudy
Type E,G-984,2022-11-24,1985,73.68,47,6,None,Semi-Urban,West Battalion,39,Dry
Type C,G-784,2021-11-21,3762,78.07,0,6,None,Rural,North-East Battalion,28,Rainy
Type D,G-164,2019-08-14,1261,93.69,25,4,None,Semi-Urban,West Battalion,33,Humid
Type E,G-451,2019-12-13,1906,92.82,40,4,Engine,Urban,West Battalion,35,Hot
Type D,G-699,2022-04-15,2071,87.32,8,8,Radar,Urban,North Battalion,35,Sunny
Type E,G-172,2018-04-25,8665,64.34,35,4,Gun System,Rural,South Battalion,29,Humid
Type D,G-610,2018-12-11,1267,72.96,19,1,Sensors,Urban,East Battalion,29,Rainy
Type C,G-786,2025-02-02,7040,78.46,48,2,Transmission,Urban,South Battalion,32,Hot
Type C,G-676,2023-04-05,5966,64.93,35,4,None,Urban,West Battalion,34,Hot
Type E,G-187,2021-12-30,9877,95.7,49,0,None,Urban,West Battalion,35,Hot
Type D,G-294,2017-05-06,9360,84.57,38,2,Engine,Urban,North Battalion,34,Sunny
Type A,G-409,2019-01-27,7664,94.07,21,2,None,Semi-Urban,West Battalion,36,Dry
Type B,G-522,2019-02-12,5316,62.25,27,9,Gun System,Urban,North Battalion,35,Sunny
Type E,G-422,2022-12-24,8554,89.18,33,7,None,Urban,West Battalion,38,Hot
Type B,G-715,2016-05-16,402,64.52,2,8,Navigation System,Urban,North Battalion,33,Sunny
Type C,G-281,2022-12-27,6029,71.08,45,7,Brakes,Rural,East Battalion,32,Cloudy
Type D,G-800,2021-07-28,4705,69.45,10,5,None,Semi-Urban,West Battalion,37,Dry
Type B,G-938,2021-09-08,5932,79.72,19,1,None,Urban,East Battalion,32,Rainy
Type E,G-671,2018-06-26,8427,93.8,20,2,None,Urban,North Battalion,35,Sunny
Type A,G-516,2018-05-08,8024,95.51,9,1,Brakes,Semi-Urban,West Battalion,32,Humid
Type B,G-955,2024-03-13,227,63.23,6,2,Engine,Rural,North-East Battalion,28,Rainy
Type E,G-640,2016-06-27,8182,79.22,32,3,None,Urban,South Battalion,34,Hot
Type D,G-748,2018-04-07,5405,60.47,6,3,None,Urban,South Battalion,36,Hot
Type A,G-866,2024-01-15,2810,75.12,2,9,None,Rural,East Battalion,35,Cloudy
Type D,G-534,2022-09-11,434,91.74,22,4,None,Rural,North Battalion,26,Cool
Type B,G-983,2017-01-22,8857,61.73,20,4,None,Urban,North Battalion,34,Sunny
Type C,G-679,2022-09-20,4952,70.23,1,6,Brakes,Semi-Urban,West Battalion,33,Humid
Type C,G-553,2017-01-21,7653,93.01,47,4,None,Urban,East Battalion,31,Rainy
Type A,G-982,2015-03-04,5971,86.68,15,7,None,Urban,East Battalion,29,Rainy
Type D,G-207,2022-09-01,8624,66.46,25,5,Armor Plating,Urban,East Battalion,32,Rainy
Type B,G-327,2022-03-20,2754,89.55,0,7,Gun System,Semi-Urban,West Battalion,39,Dry
Type A,G-811,2017-07-18,7835,68.04,44,4,Sensors,Urban,East Battalion,30,Rainy
Type C,G-434,2018-11-03,8635,63.89,20,4,Gun System,Semi-Urban,West Battalion,32,Humid
Type E,G-888,2020-09-03,6776,87.61,36,0,None,Semi-Urban,West Battalion,30,Humid
Type B,G-864,2022-04-05,7471,89.28,36,6,Engine,Semi-Urban,West Battalion,36,Dry
Type B,G-360,2020-09-05,390,79.0,33,9,Sensors,Urban,West Battalion,36,Hot
Type B,G-338,2019-03-08,8521,75.0,15,3,Transmission,Urban,North Battalion,35,Sunny
Type D,G-576,2017-12-24,6943,97.32,10,0,None,Urban,South Battalion,35,Hot
Type B,G-809,2018-12-12,4152,65.72,29,2,Brakes,Urban,South Battalion,33,Hot
Type B,G-860,2023-06-16,8279,77.26,5,8,Wiring,Rural,North Battalion,30,Cool
Type E,G-825,2024-02-04,8317,91.32,1,3,Sensors,Urban,West Battalion,38,Hot
Type A,G-595,2022-01-26,9380,87.27,31,6,Sensors,Semi-Urban,West Battalion,39,Dry
Type B,G-545,2019-05-28,343,90.67,38,4,None,Rural,South Battalion,30,Humid
Type C,G-320,2023-05-10,252,79.48,40,4,None,Urban,South Battalion,32,Hot
Type B,G-873,2023-11-13,7906,63.3,24,1,Gun System,Rural,North-East Battalion,25,Rainy
Type A,G-571,2016-10-20,464,69.25,30,3,None,Urban,South Battalion,33,Hot
Type E,G-569,2017-08-06,7683,98.33,14,5,Radar,Urban,West Battalion,37,Hot
Type B,G-191,2015-11-16,2619,65.13,1,4,None,Urban,West Battalion,35,Hot
Type A,G-103,2015-12-08,8882,71.9,31,8,Navigation System,Semi-Urban,West Battalion,37,Dry
Type A,G-249,2021-10-17,2714,93.06,14,1,None,Semi-Urban,West Battalion,38,Dry
Type E,G-214,2020-10-23,4202,76.82,42,10,Sensors,Rural,North Battalion,30,Cool
Type D,G-262,2021-05-21,3695,94.02,13,3,Radar,Semi-Urban,West Battalion,37,Dry
Type E,G-491,2015-04-15,1193,86.78,30,0,None,Urban,North Battalion,36,Sunny
Type C,G-999,2020-04-21,3499,64.74,15,9,Brakes,Urban,South Battalion,32,Hot
Type D,G-933,2024-04-14,6104,67.32,14,4,Gun System,Semi-Urban,West Battalion,33,Humid
Type A,G-843,2021-11-24,107,82.3,46,6,Navigation System,Rural,South Battalion,29,Humid
Type D,G-653,2023-06-12,4493,93.31,38,8,Wiring,Urban,North Battalion,35,Sunny
Type A,G-235,2019-03-21,9184,60.09,33,2,Sensors,Urban,East Battalion,28,Rainy
Type E,G-722,2022-06-06,9346,88.81,10,10,None,Rural,South Battalion,30,Humid
Type A,G-888,2018-03-31,4163,61.67,13,8,None,Urban,South Battalion,36,Hot
Type B,G-684,2024-05-14,9826,83.38,42,4,None,Rural,South Battalion,32,Humid
Type A,G-415,2022-12-23,6195,97.02,6,8,Brakes,Semi-Urban,West Battalion,31,Humid
Type A,G-407,2019-05-07,8271,89.19,2,3,Sensors,Semi-Urban,West Battalion,32,Humid
Type A,G-850,2023-11-17,2363,79.3,1,0,Transmission,Rural,North Battalion,29,Cool
Type B,G-899,2018-02-27,1840,79.18,16,0,Radar,Urban,West Battalion,34,Hot
Type E,G-785,2018-06-01,145,86.59,41,8,None,Urban,East Battalion,28,Rainy
Type D,G-958,2021-05-12,3856,87.59,32,1,Engine,Rural,North-East Battalion,27,Rainy
Type C,G-517,2019-03-03,4146,87.68,15,10,None,Rural,East Battalion,32,Cloudy
Type D,G-836,2022-09-17,6604,80.0,35,4,Engine,Urban,West Battalion,37,Hot
Type D,G-190,2020-11-12,8197,99.64,34,1,None,Rural,North Battalion,28,Cool
Type D,G-453,2020-02-17,9399,73.76,18,8,None,Rural,North Battalion,29,Cool
Type C,G-484,2023-11-20,1435,97.87,14,4,None,Semi-Urban,West Battalion,36,Dry
Type C,G-136,2019-11-21,6586,79.78,28,2,None,Urban,West Battalion,35,Hot
Type D,G-965,2020-09-07,7123,76.31,36,2,None,Urban,North Battalion,34,Sunny
Type B,G-387,2016-08-10,2389,63.66,47,2,Gun System,Semi-Urban,West Battalion,36,Dry
Type A,G-877,2022-04-22,1673,86.04,10,3,None,Urban,East Battalion,29,Rainy
Type B,G-607,2020-06-05,4923,67.02,26,7,Radar,Rural,North-East Battalion,29,Rainy
Type E,G-548,2016-06-13,8254,99.27,48,4,None,Rural,North Battalion,28,Cool
Type B,G-256,2015-08-26,3629,90.03,3,4,None,Urban,North Battalion,35,Sunny
Type C,G-369,2017-09-20,8868,90.37,8,4,None,Urban,North Battalion,35,Sunny
Type C,G-561,2022-12-28,5023,76.17,3,9,Sensors,Semi-Urban,West Battalion,30,Humid
Type A,G-218,2023-11-10,700,71.39,38,5,None,Urban,West Battalion,38,Hot
Type B,G-888,2021-07-23,3689,94.1,21,9,Transmission,Semi-Urban,West Battalion,30,Humid
Type D,G-538,2018-07-27,2238,68.04,4,5,None,Urban,North Battalion,35,Sunny
Type E,G-524,2024-08-20,1549,81.07,9,9,Radar,Urban,South Battalion,33,Hot
Type A,G-640,2018-04-13,6912,85.73,10,8,None,Urban,North Battalion,35,Sunny
Type E,G-966,2022-07-09,6122,86.56,39,1,None,Semi-Urban,West Battalion,36,Dry
Type B,G-130,2025-02-25,3049,68.58,26,5,None,Semi-Urban,West Battalion,36,Dry
Type D,G-443,2021-09-25,7618,77.36,8,8,Armor Plating,Rural,East Battalion,33,Cloudy
Type A,G-787,2024-08-17,6248,89.55,16,6,None,Urban,North Battalion,34,Sunny
Type C,G-238,2022-04-06,4898,73.85,39,9,None,Urban,East Battalion,32,Rainy
Type E,G-416,2025-02-27,1888,80.51,18,9,None,Rural,South Battalion,33,Humid
Type E,G-453,2020-10-01,3474,76.47,29,8,None,Rural,East Battalion,31,Cloudy
Type E,G-927,2018-09-22,6549,74.36,25,2,Engine,Rural,North-East Battalion,27,Rainy
Type A,G-901,2021-12-30,2401,74.83,45,8,None,Urban,East Battalion,31,Rainy
Type C,G-199,2021-05-05,1334,63.55,31,5,Radar,Rural,South Battalion,32,Humid
Type C,G-795,2019-09-05,7554,79.92,36,2,Brakes,Urban,South Battalion,32,Hot
Type B,G-529,2024-06-02,463,81.17,13,4,None,Rural,South Battalion,29,Humid
Type E,G-208,2022-11-22,2306,63.02,8,6,None,Semi-Urban,West Battalion,40,Dry
Type D,G-745,2017-08-18,4036,75.07,21,5,None,Rural,North Battalion,27,Cool
Type E,G-166,2021-01-04,4797,64.52,11,6,None,Rural,East Battalion,35,Cloudy
Type E,G-507,2019-08-26,8147,86.72,41,3,None,Rural,East Battalion,35,Cloudy
Type A,G-202,2016-03-19,9785,77.19,35,5,None,Urban,West Battalion,37,Hot
Type B,G-949,2015-10-07,3868,99.17,5,1,None,Rural,South Battalion,33,Humid
Type E,G-601,2016-05-24,6135,78.48,6,0,Engine,Semi-Urban,West Battalion,33,Humid
