Aircraft Type,Aircraft ID,Purchase Timestamp,Usage Hours,Performance Metrics,Maintenance Logs,Number of Failures,Parts with Issues,State,Area,Battalion,Temperature,Weather
Type E,A-171,2020-11-08,4426,76.64,18,1,,Maharashtra,Central Command,Alpha Battalion,20.0,Windy
Type E,A-243,2020-06-04,9296,97.51,13,2,,Punjab,South Zone,Delta Squadron,28.2,Sunny
Type E,A-246,2016-05-03,4072,84.12,48,0,Engine,Tamil Nadu,South Zone,Echo Force,25.3,Stormy
Type A,A-312,2016-06-02,9552,73.4,46,2,Sensors,Delhi,North Zone,Charlie Battalion,17.0,Rainy
Type E,A-154,2025-02-22,5996,99.7,23,9,Wiring,Rajasthan,Central Command,Bravo Battalion,36.3,Rainy
Type D,A-800,2020-04-14,6367,74.01,16,4,,Rajasthan,North Zone,Charlie Battalion,12.6,Stormy
Type A,A-964,2018-01-31,7217,65.77,2,4,,Maharashtra,West Zone,Charlie Battalion,42.9,Windy
Type A,A-635,2020-06-03,4419,96.99,40,5,Armor Plating,Punjab,East Zone,Echo Force,13.9,Rainy
Type D,A-973,2020-12-13,7208,70.23,44,0,Navigation System,Punjab,West Zone,Delta Squadron,20.4,Windy
Type E,A-103,2024-03-21,8654,86.33,43,3,,Uttar Pradesh,Central Command,Echo Force,41.5,Sunny
Type C,A-209,2020-07-12,329,68.27,46,1,,Rajasthan,Central Command,Bravo Battalion,38.8,Foggy
Type B,A-275,2022-07-16,1768,97.53,39,10,,Rajasthan,North Zone,Echo Force,16.0,Foggy
Type C,A-161,2019-04-12,5485,68.44,2,0,Wiring,Uttar Pradesh,Central Command,Bravo Battalion,38.6,Windy
Type D,A-125,2016-06-23,402,85.62,16,4,Gun System,Maharashtra,East Zone,Charlie Battalion,16.0,Rainy
Type D,A-539,2021-07-02,8986,91.99,21,1,,Tamil Nadu,East Zone,Bravo Battalion,38.6,Stormy
Type E,A-316,2021-11-19,5495,62.23,22,6,Navigation System,Kerala,West Zone,Alpha Battalion,41.9,Stormy
Type E,A-719,2018-08-25,3551,90.86,45,5,Radar,West Bengal,East Zone,Charlie Battalion,30.1,Cloudy
Type C,A-786,2021-03-01,5182,96.44,37,5,Transmission,West Bengal,West Zone,Charlie Battalion,19.3,Sunny
Type E,A-384,2021-03-26,3132,75.75,32,4,Gun System,Tamil Nadu,East Zone,Bravo Battalion,30.5,Stormy
Type B,A-376,2024-06-24,5500,81.97,47,4,,Gujarat,Central Command,Delta Squadron,32.8,Windy
Type A,A-698,2022-01-10,384,84.84,10,6,,West Bengal,North Zone,Echo Force,30.2,Stormy
Type E,A-352,2024-08-05,3620,85.18,17,1,Brakes,Delhi,West Zone,Delta Squadron,22.1,Sunny
Type D,A-914,2023-08-19,1193,61.43,2,5,Armor Plating,Punjab,Central Command,Delta Squadron,32.1,Stormy
Type C,A-647,2016-10-23,2445,78.33,8,5,Sensors,Delhi,East Zone,Charlie Battalion,29.0,Sunny
Type C,A-190,2020-12-22,4532,85.96,42,3,Radar,Maharashtra,East Zone,Delta Squadron,23.9,Rainy
Type C,A-338,2022-01-11,8521,64.78,6,7,,Assam,South Zone,Charlie Battalion,26.4,Cloudy
Type A,A-204,2016-12-13,5175,78.15,34,1,,Rajasthan,East Zone,Echo Force,30.5,Foggy
Type B,A-653,2024-05-20,9668,63.88,40,6,Engine,Uttar Pradesh,East Zone,Alpha Battalion,30.0,Stormy
Type E,A-288,2023-10-17,1508,72.26,32,8,Gun System,Uttar Pradesh,West Zone,Delta Squadron,38.0,Cloudy
Type C,A-980,2019-03-02,1340,75.34,25,3,Navigation System,Rajasthan,East Zone,Echo Force,27.2,Stormy
Type D,A-501,2023-05-15,6231,67.57,15,1,Transmission,Delhi,West Zone,Echo Force,24.1,Windy
Type E,A-270,2016-09-04,679,86.12,23,0,Wiring,Punjab,South Zone,Delta Squadron,27.0,Rainy
Type D,A-500,2015-12-20,7036,98.61,35,9,,Punjab,North Zone,Echo Force,41.3,Foggy
Type C,A-673,2023-02-03,1909,61.79,15,4,,Rajasthan,West Zone,Alpha Battalion,29.4,Windy
Type A,A-879,2016-01-21,7090,76.01,11,1,Navigation System,Kerala,West Zone,Charlie Battalion,32.8,Stormy
Type E,A-752,2019-01-25,8057,92.55,3,2,Engine,Kerala,East Zone,Charlie Battalion,17.3,Sunny
Type D,A-243,2023-01-20,1966,97.04,2,4,Navigation System,West Bengal,East Zone,Echo Force,42.8,Rainy
Type D,A-772,2023-08-24,857,77.39,6,1,Armor Plating,Maharashtra,East Zone,Alpha Battalion,33.5,Rainy
Type D,A-503,2021-02-07,6207,87.67,3,2,,West Bengal,North Zone,Charlie Battalion,12.5,Foggy
Type E,A-987,2019-03-25,2854,88.92,36,6,Gun System,Delhi,North Zone,Alpha Battalion,38.2,Windy
Type D,A-852,2017-05-27,8882,63.57,33,6,,Gujarat,Central Command,Charlie Battalion,41.7,Foggy
Type E,A-943,2020-01-31,3119,88.82,34,2,,Assam,West Zone,Alpha Battalion,19.0,Stormy
Type D,A-798,2017-02-07,3047,81.83,21,9,,Delhi,South Zone,Bravo Battalion,25.0,Windy
Type E,A-226,2019-01-16,6048,97.73,8,2,,Delhi,West Zone,Bravo Battalion,10.0,Rainy
Type C,A-479,2015-09-03,2836,97.46,17,6,,Kerala,Central Command,Bravo Battalion,43.4,Cloudy
Type A,A-657,2024-11-19,6694,77.3,38,0,Wiring,West Bengal,West Zone,Delta Squadron,10.5,Rainy
Type D,A-148,2021-08-29,3564,64.51,43,4,Radar,Rajasthan,West Zone,Alpha Battalion,19.4,Windy
Type B,A-616,2022-08-05,4472,70.57,16,6,Navigation System,Delhi,West Zone,Delta Squadron,22.3,Cloudy
Type B,A-361,2020-06-01,9165,97.43,15,5,,Tamil Nadu,North Zone,Charlie Battalion,36.1,Foggy
Type B,A-191,2018-02-04,9890,66.97,34,4,Brakes,West Bengal,West Zone,Echo Force,12.9,Sunny
Type E,A-370,2019-12-13,5981,94.29,4,6,Sensors,Uttar Pradesh,North Zone,Bravo Battalion,12.2,Sunny
Type E,A-294,2019-11-14,6556,89.77,49,3,Brakes,Kerala,South Zone,Bravo Battalion,29.9,Sunny
Type A,A-842,2021-09-26,6433,87.46,50,5,Radar,Assam,North Zone,Alpha Battalion,26.1,Rainy
Type A,A-511,2020-02-06,667,60.25,2,9,,Maharashtra,South Zone,Alpha Battalion,38.5,Sunny
Type A,A-906,2016-08-04,9847,77.3,25,4,,Rajasthan,South Zone,Bravo Battalion,23.8,Cloudy
Type E,A-756,2022-08-06,543,89.49,12,4,,West Bengal,West Zone,Bravo Battalion,43.5,Stormy
Type E,A-107,2022-03-26,4106,63.82,40,2,,West Bengal,North Zone,Bravo Battalion,44.6,Foggy
Type A,A-703,2024-08-10,1698,60.48,2,6,,Punjab,North Zone,Echo Force,37.1,Cloudy
Type B,A-552,2024-08-25,5225,68.22,29,2,Wiring,Delhi,North Zone,Delta Squadron,32.4,Rainy
Type E,A-458,2020-01-29,3757,89.87,0,3,,Assam,Central Command,Echo Force,27.0,Cloudy
Type E,A-909,2023-02-11,646,73.59,45,6,,Tamil Nadu,Central Command,Bravo Battalion,37.7,Windy
Type D,A-970,2019-10-31,7773,64.57,18,3,Brakes,Delhi,West Zone,Bravo Battalion,11.1,Stormy
Type A,A-563,2019-07-21,6034,93.87,19,2,Sensors,Rajasthan,West Zone,Charlie Battalion,42.4,Rainy
Type C,A-551,2019-12-18,4185,91.58,47,6,Brakes,Gujarat,South Zone,Bravo Battalion,37.9,Windy
Type B,A-919,2020-05-03,4345,88.8,37,6,,Rajasthan,North Zone,Echo Force,40.9,Stormy
Type A,A-137,2017-08-27,2026,89.72,29,8,,Gujarat,North Zone,Delta Squadron,10.5,Windy
Type B,A-431,2018-11-15,5675,72.56,22,3,,Gujarat,West Zone,Alpha Battalion,40.3,Cloudy
Type A,A-481,2015-05-04,4543,84.18,33,5,Transmission,West Bengal,East Zone,Charlie Battalion,16.2,Foggy
Type D,A-733,2023-05-28,4864,95.59,18,3,Navigation System,Rajasthan,East Zone,Charlie Battalion,18.6,Windy
Type B,A-158,2016-04-17,2090,85.59,1,6,,Delhi,East Zone,Delta Squadron,42.0,Cloudy
Type D,A-512,2023-06-18,8695,89.19,28,2,Armor Plating,Maharashtra,North Zone,Charlie Battalion,19.1,Sunny
Type A,A-211,2018-06-06,9983,87.84,13,8,Sensors,Uttar Pradesh,South Zone,Delta Squadron,13.5,Cloudy
Type D,A-402,2018-11-27,5652,86.62,14,6,Radar,Rajasthan,West Zone,Echo Force,32.4,Rainy
Type A,A-366,2021-01-04,7132,89.54,25,2,Engine,Assam,West Zone,Delta Squadron,18.9,Stormy
Type C,A-499,2019-10-01,5325,88.0,27,4,Radar,Punjab,North Zone,Alpha Battalion,21.6,Sunny
Type C,A-800,2024-05-21,5516,98.94,26,1,,Delhi,West Zone,Bravo Battalion,38.1,Sunny
Type C,A-272,2024-10-07,7695,83.99,23,0,,Kerala,North Zone,Echo Force,36.5,Foggy
Type B,A-102,2015-05-22,7299,73.94,28,3,,Punjab,West Zone,Alpha Battalion,11.9,Cloudy
Type E,A-272,2017-04-06,5014,77.7,48,10,,Assam,North Zone,Alpha Battalion,31.3,Rainy
Type C,A-446,2019-08-07,7915,86.41,26,2,,Rajasthan,Central Command,Charlie Battalion,13.7,Cloudy
Type D,A-458,2024-04-12,4563,78.14,32,1,,Delhi,South Zone,Bravo Battalion,31.9,Windy
Type B,A-666,2016-01-23,7848,90.43,50,5,Brakes,Assam,South Zone,Delta Squadron,26.7,Cloudy
Type E,A-461,2021-06-10,4245,76.97,4,2,Brakes,Maharashtra,East Zone,Delta Squadron,14.7,Rainy
Type D,A-927,2017-10-01,8139,62.78,48,6,Brakes,Maharashtra,North Zone,Charlie Battalion,43.1,Foggy
Type B,A-152,2016-07-25,4556,74.25,39,2,,Gujarat,North Zone,Bravo Battalion,43.3,Sunny
Type D,A-258,2016-09-08,9335,79.67,48,4,,Kerala,North Zone,Alpha Battalion,42.2,Cloudy
Type C,A-661,2015-10-11,6550,65.91,47,4,,Rajasthan,East Zone,Alpha Battalion,32.7,Foggy
Type E,A-848,2015-05-17,3428,93.85,48,7,Wiring,Delhi,East Zone,Bravo Battalion,34.1,Rainy
Type D,A-725,2017-01-16,7156,95.67,41,6,,Gujarat,West Zone,Bravo Battalion,12.8,Foggy
Type A,A-184,2021-08-03,824,87.58,15,5,Brakes,Kerala,North Zone,Bravo Battalion,16.0,Windy
Type B,A-538,2019-09-09,415,77.13,18,1,,Delhi,West Zone,Bravo Battalion,10.5,Foggy
Type A,A-534,2018-03-10,3541,66.16,20,9,Engine,Gujarat,West Zone,Charlie Battalion,43.5,Cloudy
Type B,A-499,2019-03-05,7048,68.73,18,2,,Punjab,South Zone,Bravo Battalion,42.8,Rainy
Type B,A-400,2018-04-11,5402,100.0,24,7,Sensors,Gujarat,Central Command,Delta Squadron,44.3,Stormy
Type D,A-854,2015-03-11,4965,93.98,45,10,,Assam,West Zone,Alpha Battalion,36.6,Rainy
Type C,A-374,2021-05-26,8084,71.47,10,4,,Rajasthan,East Zone,Charlie Battalion,29.1,Rainy
Type C,A-632,2025-01-31,6330,79.55,15,1,Navigation System,Gujarat,West Zone,Charlie Battalion,23.8,Sunny
Type B,A-677,2020-06-22,7938,97.36,36,7,,West Bengal,Central Command,Echo Force,29.2,Foggy
Type D,A-609,2024-09-07,288,72.78,40,7,Engine,Punjab,South Zone,Bravo Battalion,39.0,Sunny
Type A,A-212,2019-01-29,8184,83.43,0,6,Gun System,Maharashtra,North Zone,Alpha Battalion,41.2,Sunny
Type E,A-208,2023-07-10,6623,66.78,34,4,,Uttar Pradesh,South Zone,Echo Force,19.4,Windy
Type D,A-175,2023-06-19,9498,65.62,8,6,,Gujarat,North Zone,Delta Squadron,24.8,Foggy
Type A,A-919,2024-06-01,9427,60.91,40,7,,Kerala,North Zone,Echo Force,19.3,Foggy
Type C,A-696,2024-08-02,2851,64.73,3,1,,Punjab,Central Command,Bravo Battalion,13.6,Sunny
Type D,A-784,2019-02-21,4119,62.73,38,4,,Assam,North Zone,Bravo Battalion,32.7,Foggy
Type C,A-576,2022-12-10,9595,97.33,46,3,Wiring,Maharashtra,West Zone,Echo Force,23.2,Sunny
Type C,A-217,2015-08-22,7336,63.39,49,1,,Maharashtra,East Zone,Charlie Battalion,41.4,Rainy
Type E,A-521,2022-03-09,8918,77.83,6,8,,West Bengal,East Zone,Alpha Battalion,10.5,Stormy
Type D,A-629,2023-03-31,8570,90.23,14,5,Navigation System,Rajasthan,North Zone,Charlie Battalion,14.1,Stormy
Type C,A-359,2016-11-04,1675,77.5,19,4,Engine,Delhi,South Zone,Delta Squadron,11.9,Rainy
Type E,A-659,2015-05-28,1504,94.44,9,8,,Assam,Central Command,Alpha Battalion,19.8,Cloudy
Type D,A-855,2021-04-28,5901,67.74,0,5,Brakes,Kerala,West Zone,Alpha Battalion,10.7,Sunny
Type D,A-877,2022-09-17,8619,72.12,47,3,Sensors,Maharashtra,West Zone,Delta Squadron,40.5,Cloudy
Type E,A-557,2021-10-28,9403,96.73,9,9,,Tamil Nadu,South Zone,Echo Force,44.3,Cloudy
Type D,A-778,2023-07-10,3526,87.05,40,5,Gun System,Rajasthan,South Zone,Delta Squadron,27.5,Sunny
Type C,A-685,2017-12-03,8917,95.62,11,1,,Punjab,Central Command,Delta Squadron,25.9,Rainy
Type B,A-432,2021-10-29,4955,62.99,12,3,,Tamil Nadu,West Zone,Delta Squadron,14.4,Cloudy
Type D,A-354,2024-05-24,8868,64.39,24,3,,Tamil Nadu,East Zone,Bravo Battalion,25.7,Windy
Type D,A-773,2023-07-29,3775,86.79,0,4,,Uttar Pradesh,North Zone,Echo Force,20.4,Foggy
Type C,A-200,2016-06-07,3095,92.82,15,3,Brakes,Rajasthan,East Zone,Charlie Battalion,38.4,Cloudy
Type A,A-602,2019-09-28,3362,67.4,40,5,Brakes,Delhi,West Zone,Echo Force,33.4,Cloudy
Type A,A-602,2022-03-08,8065,82.07,5,4,,Tamil Nadu,North Zone,Charlie Battalion,42.5,Foggy
Type B,A-357,2016-12-25,8449,91.98,14,4,Wiring,Assam,East Zone,Delta Squadron,23.2,Cloudy
Type E,A-739,2024-05-28,9010,90.17,41,1,Brakes,Uttar Pradesh,Central Command,Charlie Battalion,18.6,Foggy
Type B,A-488,2016-08-08,2061,85.98,20,3,Brakes,Assam,South Zone,Bravo Battalion,35.6,Foggy
Type E,A-881,2019-01-24,5729,67.12,20,0,,Gujarat,West Zone,Bravo Battalion,33.3,Sunny
Type A,A-107,2019-01-10,7354,87.64,9,3,,Delhi,East Zone,Charlie Battalion,32.5,Foggy
Type E,A-529,2021-05-09,1998,64.85,33,3,,Delhi,East Zone,Alpha Battalion,33.6,Rainy
Type B,A-540,2019-05-15,2004,61.48,7,6,,Assam,North Zone,Charlie Battalion,32.6,Windy
Type E,A-206,2018-06-23,1153,72.93,35,3,,West Bengal,South Zone,Charlie Battalion,18.7,Stormy
Type D,A-257,2021-11-19,2464,72.25,0,4,,Punjab,South Zone,Charlie Battalion,13.2,Windy
Type D,A-444,2017-04-08,1610,77.84,1,3,Engine,Kerala,South Zone,Alpha Battalion,32.6,Windy
Type A,A-163,2015-06-24,8258,88.74,6,0,Brakes,Rajasthan,West Zone,Bravo Battalion,27.5,Sunny
Type E,A-847,2020-01-03,8176,76.13,21,3,,Uttar Pradesh,East Zone,Alpha Battalion,37.4,Sunny
Type D,A-550,2017-10-22,9256,96.89,13,3,Brakes,West Bengal,Central Command,Bravo Battalion,11.8,Cloudy
Type B,A-768,2021-03-02,495,69.78,50,7,Gun System,Maharashtra,North Zone,Charlie Battalion,18.6,Cloudy
Type A,A-971,2018-03-12,5586,65.92,7,2,Wiring,West Bengal,East Zone,Charlie Battalion,12.4,Foggy
Type D,A-523,2017-10-03,4666,97.33,14,6,,Gujarat,West Zone,Echo Force,15.2,Cloudy
Type E,A-759,2017-08-29,1969,83.15,36,2,,Uttar Pradesh,South Zone,Charlie Battalion,41.5,Windy
Type A,A-467,2019-11-01,1134,98.14,46,0,,Delhi,South Zone,Delta Squadron,44.8,Rainy
Type D,A-497,2023-05-28,9893,85.36,28,6,,Punjab,South Zone,Delta Squadron,33.6,Foggy
Type D,A-920,2016-07-30,2423,96.81,35,10,,West Bengal,Central Command,Charlie Battalion,44.7,Rainy
Type C,A-218,2015-03-02,3937,72.06,33,2,,Delhi,Central Command,Bravo Battalion,42.9,Foggy
Type D,A-987,2015-03-24,1104,78.51,9,3,Armor Plating,Gujarat,West Zone,Echo Force,35.5,Cloudy
Type D,A-260,2018-03-26,3660,82.1,39,2,,Kerala,West Zone,Delta Squadron,15.8,Rainy
Type E,A-204,2022-03-01,5770,79.92,46,2,,Uttar Pradesh,North Zone,Delta Squadron,18.1,Sunny
Type C,A-687,2019-03-21,2993,90.16,50,3,,Tamil Nadu,North Zone,Alpha Battalion,24.1,Sunny
Type D,A-578,2024-11-16,8542,65.27,18,0,Armor Plating,Uttar Pradesh,South Zone,Bravo Battalion,38.3,Windy
Type C,A-472,2016-09-04,5101,77.08,21,2,,Punjab,North Zone,Echo Force,19.8,Stormy
Type E,A-712,2018-03-27,2880,87.48,22,2,,Delhi,East Zone,Echo Force,29.1,Sunny
Type D,A-136,2015-04-24,2227,66.98,15,0,,Gujarat,South Zone,Delta Squadron,32.0,Foggy
Type C,A-780,2019-08-01,2384,77.34,19,9,,Maharashtra,Central Command,Charlie Battalion,14.4,Sunny
Type A,A-726,2021-12-01,9300,99.19,23,6,Sensors,Rajasthan,West Zone,Alpha Battalion,12.7,Foggy
Type D,A-721,2022-11-24,284,85.32,21,3,Brakes,Delhi,North Zone,Bravo Battalion,15.9,Foggy
Type B,A-342,2019-11-19,2465,93.32,6,2,Transmission,Tamil Nadu,South Zone,Charlie Battalion,21.8,Foggy
Type A,A-134,2020-09-27,1173,97.51,9,4,Sensors,Tamil Nadu,South Zone,Delta Squadron,29.0,Stormy
Type D,A-585,2016-01-17,9019,65.72,4,6,Gun System,Tamil Nadu,East Zone,Alpha Battalion,14.2,Rainy
Type A,A-540,2025-02-21,1049,95.21,22,5,Sensors,Uttar Pradesh,East Zone,Charlie Battalion,40.8,Rainy
Type B,A-998,2017-07-11,8753,90.11,2,9,Transmission,Maharashtra,West Zone,Echo Force,35.4,Rainy
Type A,A-813,2016-06-09,674,92.84,42,5,Transmission,Gujarat,Central Command,Echo Force,19.6,Sunny
Type A,A-207,2018-07-14,5282,62.75,31,5,Engine,Gujarat,West Zone,Delta Squadron,31.6,Rainy
Type A,A-910,2021-06-09,1756,63.95,0,8,,Punjab,West Zone,Alpha Battalion,16.5,Foggy
Type C,A-787,2018-04-25,8402,88.22,28,7,,Assam,North Zone,Charlie Battalion,36.8,Rainy
Type D,A-113,2016-04-19,6701,88.65,28,3,Radar,Kerala,South Zone,Alpha Battalion,43.9,Rainy
Type E,A-221,2023-07-23,3150,98.3,19,1,Sensors,Delhi,Central Command,Alpha Battalion,25.8,Cloudy
Type A,A-827,2019-09-11,1687,60.76,12,1,,Punjab,South Zone,Alpha Battalion,20.8,Windy
Type A,A-793,2016-06-22,3990,88.08,36,6,,Maharashtra,West Zone,Bravo Battalion,18.7,Windy
Type D,A-467,2019-07-08,288,71.15,20,8,Wiring,Delhi,South Zone,Alpha Battalion,19.8,Cloudy
Type B,A-443,2019-05-25,2274,60.6,35,3,Gun System,Delhi,Central Command,Alpha Battalion,34.1,Cloudy
Type E,A-759,2024-06-08,369,90.45,7,2,Brakes,Rajasthan,North Zone,Alpha Battalion,38.3,Rainy
Type B,A-841,2019-06-15,3963,86.02,14,5,,Uttar Pradesh,South Zone,Charlie Battalion,43.5,Cloudy
Type E,A-521,2024-08-16,8508,86.17,32,0,Armor Plating,Tamil Nadu,Central Command,Echo Force,44.7,Sunny
Type B,A-399,2017-07-18,7602,85.66,34,3,,Uttar Pradesh,North Zone,Alpha Battalion,25.5,Sunny
Type C,A-682,2020-03-24,6316,60.8,43,1,Engine,Assam,East Zone,Echo Force,38.7,Rainy
Type D,A-905,2022-03-10,3091,66.46,26,1,,West Bengal,South Zone,Delta Squadron,29.3,Foggy
Type B,A-847,2016-05-25,2334,91.91,20,3,,Assam,East Zone,Echo Force,31.2,Windy
Type E,A-455,2020-08-22,9922,88.36,38,2,Transmission,Tamil Nadu,West Zone,Delta Squadron,32.9,Cloudy
Type D,A-303,2024-02-26,1952,73.87,16,3,Wiring,Uttar Pradesh,South Zone,Echo Force,19.2,Rainy
Type E,A-551,2023-03-23,4104,68.39,25,4,,Gujarat,North Zone,Bravo Battalion,13.0,Rainy
Type C,A-324,2019-03-26,3498,88.94,36,1,Radar,Maharashtra,West Zone,Bravo Battalion,44.9,Rainy
Type B,A-574,2022-09-09,4025,62.64,7,6,,Tamil Nadu,East Zone,Delta Squadron,43.3,Rainy
Type E,A-725,2022-07-01,1108,63.77,30,4,,Kerala,South Zone,Echo Force,26.8,Cloudy
Type B,A-711,2015-05-21,3611,85.7,50,3,Navigation System,Assam,West Zone,Echo Force,27.5,Stormy
Type D,A-451,2022-12-05,2691,79.52,13,2,Brakes,Assam,East Zone,Bravo Battalion,19.6,Rainy
Type B,A-827,2022-09-16,4507,97.85,7,10,,Rajasthan,East Zone,Echo Force,17.9,Cloudy
Type E,A-360,2023-09-18,1772,60.28,16,5,,Gujarat,North Zone,Alpha Battalion,32.0,Sunny
Type A,A-368,2018-05-14,3959,71.74,4,2,Wiring,Kerala,South Zone,Bravo Battalion,22.8,Cloudy
Type A,A-165,2020-08-23,1134,71.24,27,4,Sensors,West Bengal,East Zone,Alpha Battalion,14.7,Foggy
Type D,A-865,2020-03-14,2894,88.89,23,4,,Maharashtra,Central Command,Bravo Battalion,28.8,Cloudy
Type E,A-718,2018-07-18,2915,95.25,32,1,,Assam,East Zone,Charlie Battalion,40.8,Windy
Type B,A-293,2017-01-27,5804,87.3,19,2,,Tamil Nadu,West Zone,Bravo Battalion,18.0,Foggy
Type D,A-257,2016-05-18,9257,69.85,7,3,Sensors,Maharashtra,South Zone,Charlie Battalion,19.9,Rainy
Type B,A-590,2018-09-16,6331,90.7,14,6,Radar,Punjab,Central Command,Delta Squadron,28.6,Sunny
Type B,A-809,2024-12-07,1605,94.61,43,7,Brakes,West Bengal,South Zone,Delta Squadron,32.8,Rainy
Type D,A-455,2025-02-16,5569,90.05,47,8,Gun System,Punjab,North Zone,Delta Squadron,18.0,Windy
Type A,A-961,2018-09-21,5297,65.93,26,6,,Delhi,East Zone,Charlie Battalion,13.8,Stormy
Type B,A-433,2019-09-22,2262,81.25,50,3,Transmission,Rajasthan,North Zone,Delta Squadron,10.4,Stormy
Type E,A-276,2021-06-25,5487,69.04,46,3,,Punjab,North Zone,Bravo Battalion,24.2,Windy
Type E,A-261,2015-12-26,9490,65.1,23,4,Radar,West Bengal,West Zone,Alpha Battalion,18.7,Stormy
Type B,A-386,2023-05-14,5374,74.1,6,4,,Tamil Nadu,West Zone,Delta Squadron,11.0,Windy
Type E,A-382,2021-03-08,2077,69.9,12,6,Radar,Maharashtra,West Zone,Delta Squadron,38.9,Rainy
Type B,A-308,2022-07-30,9706,67.67,33,1,Brakes,Delhi,Central Command,Echo Force,27.0,Rainy
Type C,A-348,2021-07-31,8930,74.78,26,3,,Uttar Pradesh,East Zone,Delta Squadron,29.9,Windy
Type A,A-769,2019-10-21,3559,62.6,28,1,,Rajasthan,East Zone,Charlie Battalion,30.7,Foggy
Type A,A-558,2015-07-31,7735,92.4,27,10,Armor Plating,Tamil Nadu,East Zone,Charlie Battalion,16.3,Foggy
Type A,A-506,2015-05-13,9933,72.65,18,2,Brakes,Tamil Nadu,West Zone,Delta Squadron,16.6,Rainy
Type A,A-897,2019-02-15,1926,91.25,28,10,,Gujarat,East Zone,Echo Force,17.4,Rainy
Type B,A-621,2015-06-02,7405,74.29,38,5,,Gujarat,Central Command,Echo Force,40.4,Rainy
Type A,A-330,2019-06-07,4530,92.24,39,1,,Gujarat,East Zone,Charlie Battalion,42.3,Cloudy
Type D,A-380,2022-06-08,6207,96.23,38,4,,Tamil Nadu,South Zone,Delta Squadron,25.1,Windy
Type D,A-699,2020-11-14,8850,99.72,23,8,Navigation System,Rajasthan,West Zone,Delta Squadron,41.8,Rainy
Type C,A-155,2019-04-10,414,65.65,25,7,,Punjab,North Zone,Delta Squadron,21.5,Foggy
Type E,A-226,2015-10-15,5651,71.78,26,3,,Rajasthan,North Zone,Delta Squadron,35.6,Foggy
Type C,A-732,2016-05-17,4720,68.73,39,2,,Rajasthan,East Zone,Echo Force,27.2,Rainy
Type B,A-963,2017-05-26,2100,98.86,9,3,,Delhi,West Zone,Bravo Battalion,15.5,Windy
Type B,A-988,2021-02-09,7799,79.23,39,2,Brakes,Tamil Nadu,East Zone,Delta Squadron,36.8,Rainy
Type D,A-931,2017-09-20,4093,82.66,28,6,Brakes,Assam,West Zone,Alpha Battalion,34.1,Stormy
Type D,A-150,2016-12-25,1923,70.38,4,2,Gun System,Punjab,Central Command,Charlie Battalion,14.7,Rainy
Type B,A-107,2015-09-30,1743,65.62,14,4,,Rajasthan,North Zone,Alpha Battalion,15.4,Sunny
Type E,A-653,2019-04-29,8461,67.97,3,6,,Kerala,East Zone,Charlie Battalion,36.9,Foggy
Type C,A-829,2022-11-05,8865,64.74,20,0,,Assam,North Zone,Echo Force,30.3,Sunny
Type C,A-367,2023-03-31,1861,79.39,22,5,,Rajasthan,Central Command,Charlie Battalion,14.5,Sunny
Type D,A-821,2023-12-02,7904,79.37,12,1,Engine,Maharashtra,Central Command,Charlie Battalion,20.6,Windy
Type B,A-686,2020-04-13,1841,71.83,18,3,Transmission,Kerala,West Zone,Echo Force,37.2,Stormy
Type C,A-323,2016-10-26,852,85.48,20,6,,Punjab,South Zone,Echo Force,26.0,Rainy
Type B,A-577,2016-03-21,2075,85.01,4,2,Sensors,Kerala,East Zone,Alpha Battalion,31.5,Stormy
Type C,A-436,2016-04-28,867,82.2,33,1,Engine,Punjab,South Zone,Alpha Battalion,30.5,Rainy
Type A,A-292,2015-11-11,7160,98.75,48,5,,Tamil Nadu,South Zone,Echo Force,28.3,Stormy
Type E,A-303,2025-02-10,7692,76.11,30,3,,Uttar Pradesh,North Zone,Alpha Battalion,22.9,Cloudy
Type A,A-297,2021-06-18,3281,79.96,19,7,,West Bengal,East Zone,Alpha Battalion,43.5,Stormy
Type D,A-525,2020-04-24,7899,70.91,18,3,,Punjab,North Zone,Alpha Battalion,20.2,Foggy
Type B,A-746,2021-04-09,9615,83.63,24,8,,West Bengal,South Zone,Alpha Battalion,34.7,Stormy
Type C,A-602,2017-04-10,2078,94.5,38,1,,Tamil Nadu,North Zone,Echo Force,29.5,Sunny
Type C,A-201,2020-06-10,6559,99.52,45,6,,Rajasthan,North Zone,Alpha Battalion,26.9,Foggy
Type A,A-300,2021-01-29,7651,68.08,47,8,,Rajasthan,East Zone,Echo Force,13.3,Foggy
Type D,A-730,2022-07-16,7332,74.99,13,2,Engine,Kerala,North Zone,Charlie Battalion,26.5,Sunny
Type E,A-316,2022-02-15,216,71.76,38,1,Radar,Tamil Nadu,East Zone,Charlie Battalion,43.0,Windy
Type A,A-420,2019-01-13,2216,84.14,45,5,,Tamil Nadu,Central Command,Echo Force,22.5,Foggy
Type B,A-861,2019-06-05,5416,73.55,22,4,Navigation System,Uttar Pradesh,South Zone,Alpha Battalion,12.2,Sunny
Type B,A-198,2019-01-18,9729,86.1,49,7,Sensors,Tamil Nadu,West Zone,Charlie Battalion,19.0,Cloudy
Type C,A-963,2018-03-14,746,73.18,43,4,Radar,Uttar Pradesh,Central Command,Alpha Battalion,12.1,Rainy
