Vehicle Type,Vehicle ID,Purchase Timestamp,Usage Hours,Performance Metrics,Maintenance Logs,Number of Failures,Parts with Issues,State,Area,Battalion,Temperature,Weather Conditions
Type B,V-508,2019-12-14,5562,96.15,5,2,None,Himachal Pradesh,Hilly,Rajput Regiment,9,Cool Climate
Type E,V-671,2019-10-15,6500,66.3,26,1,None,Punjab,Plains,Dogra Regiment,14,Mild Cold
Type A,V-967,2023-06-20,3271,72.26,43,4,Transmission,Jammu & Kashmir,Mountainous,Assam Rifles,-10,Foggy
Type D,V-854,2018-10-11,522,99.45,33,8,None,Nagaland,Jungle,Gorkha Rifles,33,Heavy Rain
Type C,V-886,2020-12-14,2099,72.6,40,5,None,Assam,Plains,Jat Regiment,16,Clear Skies
Type C,V-798,2017-06-11,8656,91.14,4,7,Transmission,Manipur,Jungle,Bihar Regiment,22,Humid
Type A,V-288,2022-08-30,409,97.34,19,1,None,Jammu & Kashmir,Mountainous,Jat Regiment,6,Foggy
Type A,V-598,2023-09-08,8077,74.53,0,6,Engine,Assam,Plains,Gorkha Rifles,22,Clear Skies
Type C,V-545,2023-02-18,8231,86.9,23,0,None,Assam,Plains,Gorkha Rifles,19,Clear Skies
Type B,V-277,2015-10-13,5663,87.44,37,6,None,Arunachal Pradesh,Jungle,Sikh Light Infantry,23,Heavy Rain
Type C,V-392,2015-09-17,3464,96.53,4,5,Sensors,Himachal Pradesh,Hilly,Dogra Regiment,20,Cool Climate
Type D,V-199,2021-11-19,6080,77.28,17,3,Transmission,Uttarakhand,Mountainous,Rajput Regiment,2,Extreme Cold
Type C,V-578,2015-10-07,5162,64.4,29,5,Radar,Manipur,Jungle,Jat Regiment,22,Heavy Rain
Type C,V-207,2023-08-12,8670,72.47,9,2,Radar,Rajasthan,Desert,Punjab Regiment,50,Dust Storms
Type E,V-327,2016-03-15,1790,67.96,40,6,Sensors,Jammu & Kashmir,Mountainous,Gorkha Rifles,10,Extreme Cold
Type A,V-694,2020-04-17,7999,73.99,46,2,Armor Plating,Manipur,Jungle,Sikh Light Infantry,27,Heavy Rain
Type A,V-926,2023-12-30,6707,62.36,29,10,None,Assam,Plains,Jat Regiment,10,Mild Cold
Type C,V-375,2022-08-28,9555,65.04,45,5,None,Punjab,Plains,Punjab Regiment,14,Foggy
Type E,V-197,2021-12-03,3569,66.58,11,4,None,Uttarakhand,Mountainous,Bihar Regiment,-4,Snowfall
Type D,V-612,2023-02-02,9802,64.72,42,4,None,Himachal Pradesh,Hilly,Kumaon Regiment,18,Cool Climate
Type C,V-182,2022-06-17,9977,72.89,0,9,Navigation System,Jammu & Kashmir,Mountainous,Jat Regiment,-2,Foggy
Type C,V-894,2019-02-13,8784,76.94,43,4,Gun System,Uttarakhand,Mountainous,Naga Regiment,-7,Foggy
Type E,V-449,2019-09-03,4824,74.44,23,5,None,Assam,Plains,Punjab Regiment,30,Foggy
Type C,V-892,2020-09-02,5117,75.84,49,5,None,Uttarakhand,Mountainous,Bihar Regiment,3,Snowfall
Type B,V-391,2016-05-30,2433,95.62,44,1,None,Arunachal Pradesh,Jungle,Assam Rifles,27,Heavy Rain
Type E,V-708,2023-04-09,4660,62.5,34,2,None,Nagaland,Jungle,Assam Rifles,33,Foggy
Type B,V-115,2023-10-23,3429,85.59,30,2,Sensors,Nagaland,Jungle,Rajput Regiment,26,Humid
Type C,V-931,2022-10-24,240,73.42,3,4,None,Uttarakhand,Mountainous,Kumaon Regiment,0,Snowfall
Type E,V-178,2019-07-09,7704,78.57,47,10,Armor Plating,Himachal Pradesh,Hilly,Assam Rifles,7,Cool Climate
Type A,V-851,2021-12-21,2366,90.09,38,2,None,Sikkim,Mountainous,Gorkha Rifles,3,Snowfall
Type D,V-250,2017-03-16,3039,91.85,30,8,None,Jammu & Kashmir,Mountainous,Assam Rifles,4,Foggy
Type C,V-303,2022-08-27,149,86.36,35,3,None,Assam,Plains,Bihar Regiment,23,Foggy
Type C,V-836,2020-09-27,1684,80.93,38,1,Engine,Arunachal Pradesh,Jungle,Rajput Regiment,28,Foggy
Type D,V-808,2022-08-20,8643,95.78,15,3,Engine,Jammu & Kashmir,Mountainous,Dogra Regiment,-10,Snowfall
Type B,V-820,2021-06-30,6752,89.58,39,2,Radar,Jammu & Kashmir,Mountainous,Naga Regiment,-3,Extreme Cold
Type E,V-744,2015-06-25,1776,96.76,18,7,None,Uttarakhand,Mountainous,Bihar Regiment,-6,Foggy
Type A,V-247,2020-07-19,9896,97.36,44,2,Wiring,Arunachal Pradesh,Jungle,Bihar Regiment,27,Humid
Type D,V-715,2022-09-09,5111,70.07,17,5,None,Arunachal Pradesh,Jungle,Punjab Regiment,22,Humid
Type A,V-285,2016-06-08,1402,98.81,26,6,None,Rajasthan,Desert,Kumaon Regiment,48,Dust Storms
Type D,V-600,2021-09-19,2534,70.42,38,4,None,Uttarakhand,Mountainous,Kumaon Regiment,-3,Foggy
Type B,V-683,2015-12-05,9335,79.58,25,4,None,Manipur,Jungle,Dogra Regiment,25,Foggy
Type B,V-650,2018-04-11,6492,71.1,35,4,None,Jammu & Kashmir,Mountainous,Kumaon Regiment,0,Extreme Cold
Type A,V-359,2025-02-03,3728,67.87,2,5,None,Manipur,Jungle,Sikh Light Infantry,24,Humid
Type C,V-534,2018-03-01,7064,96.72,12,3,None,Rajasthan,Desert,Gorkha Rifles,47,Hot and Dry
Type D,V-764,2018-05-06,1075,91.64,2,3,Radar,Nagaland,Jungle,Kumaon Regiment,24,Heavy Rain
Type A,V-303,2017-09-02,6754,73.83,17,5,Engine,Sikkim,Mountainous,Gorkha Rifles,10,Extreme Cold
Type E,V-637,2016-03-24,4149,66.62,15,7,Transmission,Nagaland,Jungle,Jat Regiment,32,Foggy
Type C,V-371,2017-10-04,6295,63.14,36,0,None,Assam,Plains,Assam Rifles,24,Clear Skies
Type D,V-827,2019-06-11,7025,78.26,15,3,None,Rajasthan,Desert,Rajput Regiment,33,Hot and Dry
Type E,V-439,2024-03-13,8607,91.76,30,1,Radar,Punjab,Plains,Naga Regiment,15,Clear Skies
Type E,V-741,2015-05-03,5423,65.01,33,4,None,Punjab,Plains,Naga Regiment,22,Mild Cold
Type A,V-676,2022-11-16,5225,82.12,43,2,None,Manipur,Jungle,Bihar Regiment,27,Foggy
Type E,V-924,2017-06-19,7209,90.42,14,3,Engine,Arunachal Pradesh,Jungle,Bihar Regiment,34,Heavy Rain
Type C,V-922,2019-10-08,9725,71.66,34,5,None,Assam,Plains,Jat Regiment,28,Clear Skies
Type D,V-279,2017-06-04,2190,91.81,36,8,None,Rajasthan,Desert,Rajput Regiment,38,Clear Skies
Type C,V-269,2024-12-08,7399,69.37,45,2,None,Assam,Plains,Jat Regiment,29,Clear Skies
Type D,V-960,2023-01-21,5387,81.18,13,3,None,Manipur,Jungle,Sikh Light Infantry,30,Heavy Rain
Type E,V-166,2020-02-27,7640,91.55,12,3,Sensors,Himachal Pradesh,Hilly,Assam Rifles,10,Cool Climate
Type A,V-561,2024-03-28,1032,89.83,45,7,Gun System,Punjab,Plains,Assam Rifles,15,Mild Cold
Type B,V-360,2024-07-08,5964,96.31,26,2,Gun System,Manipur,Jungle,Rajput Regiment,30,Foggy
Type B,V-392,2015-11-05,866,71.89,25,9,None,Punjab,Plains,Rajput Regiment,15,Clear Skies
Type D,V-114,2020-08-06,5952,78.29,12,0,None,Himachal Pradesh,Hilly,Gorkha Rifles,18,Foggy
Type C,V-665,2021-09-05,4942,77.3,40,1,Radar,Punjab,Plains,Bihar Regiment,18,Clear Skies
Type B,V-198,2021-07-13,4466,88.83,33,6,Wiring,Nagaland,Jungle,Gorkha Rifles,28,Heavy Rain
Type D,V-341,2025-02-20,7835,69.8,32,1,Transmission,Manipur,Jungle,Gorkha Rifles,29,Foggy
Type E,V-512,2017-07-19,9004,95.83,34,0,Sensors,Assam,Plains,Sikh Light Infantry,26,Foggy
Type A,V-106,2015-07-23,4765,89.62,9,2,None,Punjab,Plains,Sikh Light Infantry,18,Clear Skies
Type A,V-604,2020-02-04,5778,90.2,47,4,None,Punjab,Plains,Assam Rifles,17,Clear Skies
Type E,V-435,2018-12-01,4694,83.15,40,3,Brakes,Jammu & Kashmir,Mountainous,Jat Regiment,10,Foggy
Type E,V-441,2020-11-20,1431,63.06,9,3,Brakes,Arunachal Pradesh,Jungle,Gorkha Rifles,33,Heavy Rain
Type D,V-672,2016-03-21,650,79.56,17,8,None,Punjab,Plains,Rajput Regiment,27,Clear Skies
Type A,V-775,2021-11-29,655,65.52,41,0,Sensors,Sikkim,Mountainous,Sikh Light Infantry,3,Snowfall
Type C,V-187,2020-08-31,7602,67.82,35,2,None,Assam,Plains,Jat Regiment,26,Clear Skies
Type E,V-683,2022-12-13,8291,93.78,28,0,None,Rajasthan,Desert,Assam Rifles,33,Dust Storms
Type D,V-470,2024-05-13,3785,72.3,35,2,Sensors,Punjab,Plains,Gorkha Rifles,13,Clear Skies
Type B,V-392,2020-02-18,7881,78.82,26,5,None,Assam,Plains,Jat Regiment,12,Mild Cold
Type D,V-601,2019-06-03,7404,64.6,20,5,None,Himachal Pradesh,Hilly,Naga Regiment,14,Cool Climate
Type E,V-586,2019-01-15,762,95.63,0,2,Wiring,Sikkim,Mountainous,Dogra Regiment,-3,Foggy
Type D,V-540,2020-08-27,7698,64.71,13,3,Gun System,Punjab,Plains,Assam Rifles,17,Clear Skies
Type A,V-572,2018-10-28,9487,86.85,0,2,Navigation System,Uttarakhand,Mountainous,Rajput Regiment,-9,Extreme Cold
Type A,V-217,2019-06-14,9057,73.37,23,3,Gun System,Punjab,Plains,Jat Regiment,23,Mild Cold
Type B,V-557,2022-03-05,8623,84.48,48,8,None,Rajasthan,Desert,Jat Regiment,38,Dust Storms
Type E,V-160,2022-01-16,1679,82.7,33,7,Armor Plating,Rajasthan,Desert,Gorkha Rifles,30,Clear Skies
Type C,V-952,2021-11-29,9964,79.36,48,7,None,Uttarakhand,Mountainous,Gorkha Rifles,9,Snowfall
Type A,V-698,2023-09-15,9500,60.94,4,6,Engine,Manipur,Jungle,Assam Rifles,20,Humid
Type B,V-260,2017-03-23,1180,66.25,26,2,Gun System,Himachal Pradesh,Hilly,Sikh Light Infantry,15,Foggy
Type A,V-238,2017-07-28,8642,77.01,46,3,Sensors,Sikkim,Mountainous,Gorkha Rifles,7,Snowfall
Type E,V-738,2024-07-01,981,92.76,6,6,None,Jammu & Kashmir,Mountainous,Naga Regiment,5,Foggy
Type C,V-975,2023-05-07,5453,79.52,21,6,Brakes,Jammu & Kashmir,Mountainous,Gorkha Rifles,5,Extreme Cold
Type C,V-650,2025-02-25,8676,63.43,32,4,None,Jammu & Kashmir,Mountainous,Naga Regiment,-8,Extreme Cold
Type D,V-441,2017-02-20,3356,96.06,46,3,Engine,Rajasthan,Desert,Assam Rifles,40,Hot and Dry
Type C,V-786,2017-08-21,7608,64.22,17,7,None,Punjab,Plains,Gorkha Rifles,20,Foggy
Type B,V-426,2023-07-12,1817,82.27,42,8,Transmission,Jammu & Kashmir,Mountainous,Naga Regiment,1,Snowfall
Type A,V-714,2021-10-25,162,67.69,24,4,Wiring,Assam,Plains,Bihar Regiment,29,Mild Cold
Type A,V-801,2024-01-02,5081,86.09,19,3,None,Himachal Pradesh,Hilly,Naga Regiment,6,Foggy
Type D,V-806,2021-02-05,5395,89.2,4,3,Navigation System,Sikkim,Mountainous,Sikh Light Infantry,10,Extreme Cold
Type A,V-748,2016-05-03,8252,98.43,2,6,None,Sikkim,Mountainous,Naga Regiment,2,Extreme Cold
Type D,V-560,2022-09-27,4097,79.54,3,7,None,Jammu & Kashmir,Mountainous,Jat Regiment,-5,Extreme Cold
Type D,V-553,2024-01-27,6349,87.05,14,5,None,Himachal Pradesh,Hilly,Sikh Light Infantry,20,Cool Climate
Type E,V-668,2024-10-06,898,75.64,32,0,Navigation System,Rajasthan,Desert,Bihar Regiment,46,Dust Storms
Type E,V-746,2022-11-14,4957,64.73,23,2,Wiring,Assam,Plains,Assam Rifles,25,Foggy
Type B,V-558,2016-01-11,348,78.5,2,0,None,Rajasthan,Desert,Punjab Regiment,49,Dust Storms
Type A,V-760,2016-08-22,961,92.33,40,0,Brakes,Rajasthan,Desert,Punjab Regiment,31,Clear Skies
Type D,V-844,2018-02-24,4829,88.33,47,4,None,Arunachal Pradesh,Jungle,Gorkha Rifles,25,Humid
Type E,V-185,2022-09-07,511,63.72,1,8,None,Jammu & Kashmir,Mountainous,Assam Rifles,1,Foggy
Type A,V-909,2016-07-14,771,88.59,23,4,Gun System,Manipur,Jungle,Naga Regiment,23,Foggy
Type E,V-566,2023-03-05,6512,90.92,38,5,None,Sikkim,Mountainous,Kumaon Regiment,-6,Extreme Cold
Type D,V-387,2020-05-15,5502,78.82,22,5,None,Himachal Pradesh,Hilly,Assam Rifles,5,Foggy
Type D,V-203,2021-04-29,4790,79.96,0,2,None,Punjab,Plains,Gorkha Rifles,18,Foggy
Type D,V-460,2020-05-29,8589,83.81,9,7,Navigation System,Assam,Plains,Dogra Regiment,22,Clear Skies
Type A,V-961,2020-12-07,2765,89.52,8,4,Wiring,Assam,Plains,Assam Rifles,17,Clear Skies
Type A,V-193,2019-04-27,8881,98.07,30,8,Wiring,Sikkim,Mountainous,Rajput Regiment,4,Snowfall
Type E,V-602,2018-10-29,1478,61.69,23,5,Brakes,Uttarakhand,Mountainous,Sikh Light Infantry,-5,Snowfall
Type D,V-810,2018-06-01,9099,97.22,44,7,Wiring,Manipur,Jungle,Kumaon Regiment,23,Foggy
Type A,V-987,2022-02-08,7500,68.23,41,7,None,Rajasthan,Desert,Assam Rifles,43,Clear Skies
Type E,V-962,2016-03-21,3219,73.88,42,0,None,Rajasthan,Desert,Bihar Regiment,35,Dust Storms
Type B,V-781,2023-08-21,2764,75.27,49,2,Navigation System,Nagaland,Jungle,Bihar Regiment,32,Heavy Rain
Type A,V-744,2024-03-19,5470,68.29,1,4,Brakes,Assam,Plains,Naga Regiment,22,Clear Skies
Type B,V-861,2019-12-26,4803,70.58,16,4,None,Manipur,Jungle,Punjab Regiment,20,Heavy Rain
Type D,V-363,2018-06-23,3196,76.28,42,4,None,Rajasthan,Desert,Punjab Regiment,36,Dust Storms
Type C,V-764,2016-02-05,139,63.93,36,8,Wiring,Himachal Pradesh,Hilly,Kumaon Regiment,9,Rainy
Type E,V-419,2022-05-16,2583,90.38,26,6,Brakes,Jammu & Kashmir,Mountainous,Dogra Regiment,-4,Foggy
Type A,V-542,2017-07-01,9591,90.47,41,4,Navigation System,Rajasthan,Desert,Jat Regiment,40,Hot and Dry
Type B,V-343,2022-06-23,1978,62.57,30,4,Radar,Rajasthan,Desert,Kumaon Regiment,46,Hot and Dry
Type C,V-902,2015-10-19,545,61.98,15,4,Transmission,Punjab,Plains,Rajput Regiment,19,Foggy
Type D,V-757,2021-11-12,8160,72.05,0,0,Radar,Assam,Plains,Rajput Regiment,12,Foggy
Type A,V-382,2024-10-14,742,99.67,39,1,Wiring,Manipur,Jungle,Jat Regiment,20,Humid
Type B,V-356,2023-10-04,7443,74.21,7,2,None,Uttarakhand,Mountainous,Rajput Regiment,-5,Foggy
Type C,V-703,2023-05-10,858,64.64,7,3,None,Assam,Plains,Gorkha Rifles,29,Mild Cold
Type A,V-253,2016-05-28,6651,98.75,19,3,None,Punjab,Plains,Assam Rifles,20,Clear Skies
Type C,V-265,2015-07-04,4342,69.89,40,5,Transmission,Assam,Plains,Naga Regiment,21,Mild Cold
Type B,V-871,2016-08-01,3988,60.31,4,5,None,Uttarakhand,Mountainous,Gorkha Rifles,9,Snowfall
Type C,V-995,2019-12-06,2671,62.96,16,2,Armor Plating,Arunachal Pradesh,Jungle,Dogra Regiment,35,Heavy Rain
Type D,V-606,2017-09-28,3089,66.94,44,4,None,Assam,Plains,Gorkha Rifles,24,Foggy
Type E,V-701,2017-08-16,5175,78.0,41,8,None,Assam,Plains,Bihar Regiment,17,Foggy
Type E,V-296,2019-09-11,7237,95.93,39,4,None,Arunachal Pradesh,Jungle,Sikh Light Infantry,34,Heavy Rain
Type B,V-543,2025-01-31,301,63.92,2,4,None,Arunachal Pradesh,Jungle,Rajput Regiment,26,Foggy
Type B,V-826,2024-12-08,6933,61.52,49,6,Wiring,Rajasthan,Desert,Kumaon Regiment,49,Hot and Dry
Type E,V-641,2019-11-08,1816,87.59,35,2,Transmission,Jammu & Kashmir,Mountainous,Gorkha Rifles,1,Extreme Cold
Type A,V-902,2021-02-22,1967,97.76,32,7,Radar,Rajasthan,Desert,Rajput Regiment,45,Dust Storms
Type C,V-633,2015-07-31,3477,77.7,24,6,None,Jammu & Kashmir,Mountainous,Assam Rifles,8,Snowfall
Type B,V-616,2020-06-11,2590,70.76,19,7,Transmission,Uttarakhand,Mountainous,Jat Regiment,0,Extreme Cold
Type A,V-977,2022-09-03,7330,77.65,46,2,None,Manipur,Jungle,Jat Regiment,31,Humid
Type D,V-552,2018-07-05,4333,64.23,4,3,None,Sikkim,Mountainous,Punjab Regiment,-8,Foggy
Type A,V-546,2019-07-17,161,93.47,2,5,Brakes,Assam,Plains,Jat Regiment,28,Clear Skies
Type E,V-794,2024-05-19,2732,70.68,2,2,None,Assam,Plains,Assam Rifles,30,Clear Skies
Type B,V-161,2015-07-29,2504,97.84,36,8,Gun System,Punjab,Plains,Assam Rifles,14,Mild Cold
Type D,V-240,2016-06-24,8942,71.97,49,7,Armor Plating,Assam,Plains,Gorkha Rifles,18,Mild Cold
Type A,V-719,2018-03-20,129,82.94,10,4,Navigation System,Nagaland,Jungle,Rajput Regiment,34,Humid
Type E,V-136,2023-04-11,9886,74.55,34,6,Navigation System,Rajasthan,Desert,Bihar Regiment,38,Hot and Dry
Type B,V-937,2015-10-23,948,77.34,32,2,None,Arunachal Pradesh,Jungle,Assam Rifles,22,Humid
Type B,V-316,2019-03-18,8639,84.13,7,2,None,Punjab,Plains,Bihar Regiment,12,Foggy
Type D,V-489,2024-07-24,5998,60.22,28,7,None,Punjab,Plains,Kumaon Regiment,12,Clear Skies
Type D,V-683,2021-12-16,4149,93.01,20,9,Brakes,Jammu & Kashmir,Mountainous,Naga Regiment,5,Extreme Cold
Type B,V-684,2021-07-19,168,72.08,19,3,Brakes,Rajasthan,Desert,Punjab Regiment,36,Clear Skies
Type E,V-852,2015-09-27,611,98.04,49,6,Gun System,Rajasthan,Desert,Bihar Regiment,42,Clear Skies
Type C,V-290,2023-11-13,4980,73.63,30,2,Radar,Nagaland,Jungle,Naga Regiment,34,Heavy Rain
Type A,V-243,2021-12-09,781,94.11,27,4,None,Uttarakhand,Mountainous,Kumaon Regiment,-10,Extreme Cold
Type E,V-814,2017-02-08,8258,69.66,10,4,None,Punjab,Plains,Sikh Light Infantry,16,Foggy
Type D,V-309,2017-08-12,2841,75.87,50,1,None,Manipur,Jungle,Naga Regiment,33,Foggy
Type C,V-977,2016-11-21,7530,66.34,2,6,Sensors,Himachal Pradesh,Hilly,Gorkha Rifles,9,Cool Climate
Type B,V-672,2020-09-28,6823,96.55,16,6,None,Sikkim,Mountainous,Punjab Regiment,1,Foggy
Type C,V-365,2023-07-22,9420,60.29,10,10,None,Himachal Pradesh,Hilly,Jat Regiment,17,Cool Climate
Type B,V-234,2015-06-05,9262,96.99,43,3,None,Manipur,Jungle,Punjab Regiment,34,Foggy
Type E,V-359,2022-02-03,2481,81.25,40,1,None,Jammu & Kashmir,Mountainous,Assam Rifles,3,Snowfall
Type C,V-385,2022-09-25,9634,76.77,30,2,Armor Plating,Jammu & Kashmir,Mountainous,Gorkha Rifles,-7,Extreme Cold
Type D,V-198,2016-05-23,5633,76.73,50,8,None,Assam,Plains,Jat Regiment,13,Clear Skies
Type E,V-783,2017-05-16,3208,71.84,3,3,None,Nagaland,Jungle,Jat Regiment,25,Heavy Rain
Type B,V-204,2021-02-13,5998,92.16,20,5,None,Uttarakhand,Mountainous,Dogra Regiment,1,Extreme Cold
Type A,V-918,2019-02-01,9235,66.63,35,4,Transmission,Manipur,Jungle,Assam Rifles,29,Foggy
Type E,V-661,2018-01-11,7689,94.18,17,5,Engine,Nagaland,Jungle,Naga Regiment,25,Humid
Type A,V-149,2017-02-27,7119,90.56,46,4,None,Himachal Pradesh,Hilly,Punjab Regiment,11,Cool Climate
Type A,V-118,2015-10-20,4185,97.92,32,5,None,Himachal Pradesh,Hilly,Jat Regiment,11,Cool Climate
Type D,V-908,2023-12-14,1168,95.1,30,2,Radar,Sikkim,Mountainous,Sikh Light Infantry,-10,Foggy
Type C,V-621,2023-08-12,6912,95.55,34,10,None,Punjab,Plains,Jat Regiment,10,Mild Cold
Type C,V-741,2019-06-30,125,84.82,45,7,Armor Plating,Punjab,Plains,Bihar Regiment,27,Mild Cold
Type B,V-696,2017-12-24,9184,96.36,46,3,None,Himachal Pradesh,Hilly,Dogra Regiment,6,Rainy
Type C,V-574,2024-07-26,1032,86.35,40,9,None,Assam,Plains,Naga Regiment,21,Foggy
Type A,V-824,2025-01-14,4419,87.97,32,3,Brakes,Assam,Plains,Assam Rifles,22,Foggy
Type B,V-684,2022-07-06,9964,99.08,50,6,None,Manipur,Jungle,Assam Rifles,27,Foggy
Type C,V-294,2022-11-26,6655,62.43,50,4,Radar,Punjab,Plains,Bihar Regiment,11,Foggy
Type B,V-820,2021-05-09,9458,64.61,43,2,Brakes,Nagaland,Jungle,Gorkha Rifles,24,Heavy Rain
Type C,V-419,2018-09-23,2276,86.07,44,2,Wiring,Himachal Pradesh,Hilly,Jat Regiment,10,Foggy
Type B,V-195,2015-12-31,1839,63.89,29,0,None,Punjab,Plains,Kumaon Regiment,30,Mild Cold
Type D,V-502,2021-07-30,1664,92.28,26,4,None,Arunachal Pradesh,Jungle,Sikh Light Infantry,28,Heavy Rain
Type A,V-176,2019-09-29,1971,96.42,2,3,Gun System,Jammu & Kashmir,Mountainous,Bihar Regiment,10,Foggy
Type E,V-722,2017-05-27,9585,80.08,1,3,Wiring,Manipur,Jungle,Assam Rifles,24,Heavy Rain
Type D,V-879,2016-03-01,9794,98.97,31,5,None,Punjab,Plains,Jat Regiment,26,Clear Skies
Type A,V-969,2016-09-22,1398,71.14,49,6,Wiring,Punjab,Plains,Punjab Regiment,24,Mild Cold
Type A,V-140,2021-03-20,5564,85.0,5,5,Wiring,Punjab,Plains,Assam Rifles,17,Mild Cold
Type E,V-347,2020-08-21,1364,63.62,9,2,None,Uttarakhand,Mountainous,Jat Regiment,-5,Extreme Cold
Type A,V-529,2019-04-05,1618,94.17,23,0,Sensors,Arunachal Pradesh,Jungle,Punjab Regiment,23,Foggy
Type D,V-456,2018-02-14,8663,82.41,8,5,Engine,Assam,Plains,Bihar Regiment,11,Mild Cold
Type E,V-817,2020-11-17,7218,94.08,5,8,Brakes,Jammu & Kashmir,Mountainous,Naga Regiment,5,Extreme Cold
Type E,V-261,2016-06-05,2519,89.95,14,2,Transmission,Sikkim,Mountainous,Kumaon Regiment,6,Extreme Cold
Type C,V-472,2017-10-01,317,68.0,44,3,Navigation System,Rajasthan,Desert,Naga Regiment,46,Hot and Dry
Type E,V-100,2017-01-02,1904,62.56,38,6,None,Arunachal Pradesh,Jungle,Rajput Regiment,26,Heavy Rain
Type E,V-203,2024-04-21,6868,66.5,29,7,None,Sikkim,Mountainous,Assam Rifles,-8,Snowfall
Type D,V-829,2015-06-18,4818,87.9,46,3,None,Sikkim,Mountainous,Dogra Regiment,-5,Snowfall
Type E,V-146,2025-02-07,8162,93.01,19,2,None,Uttarakhand,Mountainous,Punjab Regiment,10,Extreme Cold
Type E,V-736,2017-08-27,875,61.96,44,7,Navigation System,Arunachal Pradesh,Jungle,Assam Rifles,34,Heavy Rain
Type B,V-858,2015-08-03,4403,91.83,42,9,None,Assam,Plains,Kumaon Regiment,17,Foggy
Type E,V-187,2016-11-05,3376,67.37,30,0,Transmission,Manipur,Jungle,Gorkha Rifles,33,Humid
Type E,V-831,2016-05-09,2214,76.44,27,2,None,Assam,Plains,Punjab Regiment,21,Mild Cold
Type C,V-882,2021-07-13,5490,71.56,40,7,Brakes,Rajasthan,Desert,Kumaon Regiment,39,Clear Skies
Type A,V-397,2016-09-23,7592,63.53,14,4,None,Sikkim,Mountainous,Sikh Light Infantry,7,Extreme Cold
Type D,V-609,2017-09-15,2924,80.04,31,4,None,Nagaland,Jungle,Bihar Regiment,31,Humid
Type D,V-532,2021-06-11,6826,73.5,41,9,Gun System,Uttarakhand,Mountainous,Jat Regiment,-6,Snowfall
Type B,V-435,2024-01-26,3028,86.81,18,1,None,Manipur,Jungle,Naga Regiment,25,Humid
Type D,V-182,2019-05-29,3508,91.38,42,8,None,Assam,Plains,Assam Rifles,10,Foggy
Type D,V-426,2021-09-22,2130,84.8,14,3,None,Nagaland,Jungle,Sikh Light Infantry,35,Humid
Type D,V-808,2018-04-03,277,88.64,32,5,None,Nagaland,Jungle,Rajput Regiment,24,Foggy
Type D,V-519,2018-01-03,1291,68.91,42,5,None,Nagaland,Jungle,Assam Rifles,20,Humid
Type C,V-445,2021-09-08,6976,64.79,39,5,Navigation System,Manipur,Jungle,Punjab Regiment,22,Humid
Type A,V-826,2024-09-22,3987,77.68,37,2,Gun System,Assam,Plains,Sikh Light Infantry,29,Mild Cold
Type C,V-167,2022-06-14,644,74.75,50,7,None,Sikkim,Mountainous,Kumaon Regiment,4,Foggy
Type D,V-386,2016-12-12,2668,99.7,50,6,None,Nagaland,Jungle,Rajput Regiment,20,Foggy
Type A,V-160,2019-07-27,3016,90.22,9,7,Armor Plating,Assam,Plains,Naga Regiment,27,Clear Skies
Type C,V-361,2018-08-06,4959,68.02,50,3,None,Rajasthan,Desert,Assam Rifles,39,Dust Storms
Type E,V-119,2020-12-24,3889,93.47,15,4,Armor Plating,Rajasthan,Desert,Punjab Regiment,34,Dust Storms
Type A,V-790,2021-03-19,1097,76.7,9,4,Armor Plating,Assam,Plains,Bihar Regiment,27,Clear Skies
Type E,V-842,2018-02-08,9147,68.9,35,3,None,Rajasthan,Desert,Kumaon Regiment,45,Clear Skies
Type A,V-713,2019-06-29,3190,80.4,17,3,None,Punjab,Plains,Sikh Light Infantry,18,Clear Skies
Type D,V-637,2020-08-12,4465,94.79,29,4,Navigation System,Uttarakhand,Mountainous,Rajput Regiment,-8,Foggy
Type B,V-395,2021-02-15,8581,78.1,45,2,None,Arunachal Pradesh,Jungle,Naga Regiment,33,Foggy
Type C,V-271,2017-02-24,8123,83.7,31,2,Brakes,Sikkim,Mountainous,Naga Regiment,-5,Foggy
Type A,V-398,2018-03-15,9315,64.68,16,3,Navigation System,Jammu & Kashmir,Mountainous,Rajput Regiment,5,Foggy
Type E,V-655,2017-07-17,226,70.25,14,1,None,Jammu & Kashmir,Mountainous,Sikh Light Infantry,9,Extreme Cold
Type A,V-250,2021-08-15,4156,86.0,47,6,None,Manipur,Jungle,Dogra Regiment,33,Humid
Type D,V-930,2025-02-17,7501,72.72,42,7,Radar,Arunachal Pradesh,Jungle,Naga Regiment,26,Heavy Rain
Type D,V-374,2015-03-03,9421,67.75,50,5,Radar,Rajasthan,Desert,Jat Regiment,50,Hot and Dry
Type E,V-883,2023-01-22,4997,70.46,15,1,Brakes,Manipur,Jungle,Assam Rifles,32,Foggy
Type A,V-999,2023-12-31,4094,76.19,24,8,None,Manipur,Jungle,Sikh Light Infantry,30,Humid
Type E,V-319,2018-03-11,9338,89.04,33,6,None,Jammu & Kashmir,Mountainous,Kumaon Regiment,-8,Extreme Cold
Type B,V-382,2017-02-20,5728,89.24,2,7,Engine,Jammu & Kashmir,Mountainous,Naga Regiment,-5,Snowfall
Type A,V-624,2024-04-10,6175,91.63,14,5,Brakes,Punjab,Plains,Rajput Regiment,29,Mild Cold
